,A,Z,mass_theory,mass_practice,excess,binding energy,beta decay,mass
161,26,16,24238.4,24237.8,27.079,170.258,0.0,24237.8
162,26,17,24264.5,,,,,24264.5
163,27,8,25192.8,25190.7,44.451,167.216,19.821,25190.7
164,27,9,25170.7,25170.4,24.6296,186.255,17.5938,25170.4
165,27,10,25152.5,25152.3,7.03582,203.066,12.5535,25152.3
166,27,11,25139.5,25139.2,-5.51768,214.837,9.06894,25139.2
167,27,12,25131.7,25129.6,-14.5866,223.124,2.61013,25129.6
168,27,13,25126.8,25126.5,-17.1967,224.952,-4.81236,25126.5
169,27,14,25130.5,25130.8,-12.3844,219.357,-11.6619,25130.8
170,27,15,25143.7,25142.0,-0.722461,206.913,-17.75,25142.0
171,27,16,25159.4,25159.2,17.028,188.38,0.0,25159.2
172,27,17,25181.0,,,,,25181.0
173,27,18,25205.9,,,,,25205.900390625
174,28,8,26131.5,26129.8,52.08,167.658,19.159,26129.8
175,28,9,26110.5,26110.2,32.9209,186.035,21.6294,26110.2
176,28,10,26086.7,26088.0,11.2916,206.882,12.2799,26088.0
177,28,11,26075.5,26075.2,-0.988315,218.379,14.0304,26075.2
178,28,12,26061.2,26060.7,-15.0187,231.627,1.8318,26060.7
179,28,13,26059.7,26058.3,-16.8505,232.677,4.64226,26058.3
180,28,14,26053.6,26053.2,-21.4928,236.537,-14.3451,26053.2
181,28,15,26067.7,26067.0,-7.14774,221.409,-11.2209,26067.0
182,28,16,26077.5,26077.7,4.0732,209.406,-23.443,26077.7
183,28,17,26101.4,26100.7,27.516,185.181,0.0,26100.7
184,28,18,26118.5,,,,,26118.5
185,29,8,27074.3,,,,,27074.30078125
186,29,9,27048.6,27048.4,39.626,187.401,21.226,27048.4
187,29,10,27026.1,27026.6,18.3998,207.845,15.7198,27026.6
188,29,11,27010.2,27010.4,2.67998,222.782,13.2828,27010.4
189,29,12,26997.9,26996.6,-10.6028,235.283,7.60183,26996.6
190,29,13,26990.3,26988.5,-18.2047,242.102,3.69042,26988.5
191,29,14,26985.8,26984.3,-21.8951,245.01,-4.94263,26984.3
192,29,15,26989.8,26988.7,-16.9525,239.285,-13.796,26988.7
193,29,16,27002.5,27002.0,-3.15641,224.707,-16.924,27002.0
194,29,17,27019.5,27018.4,13.767,207.001,0.0,27018.4
195,29,18,27039.6,,,,,27039.599609375
196,29,19,27065.3,,,,,27065.30078125
197,30,8,28013.6,,,,,28013.599609375
198,30,9,27989.5,27988.3,48.112,186.986,25.072,27988.3
199,30,10,27962.2,27962.8,23.0396,211.276,14.5649,27962.8
200,30,11,27947.4,27947.7,8.47467,225.059,17.3584,27947.7
201,30,12,27929.6,27929.8,-8.88373,241.635,6.98873,27929.8
202,30,13,27923.7,27922.3,-15.8725,247.841,8.56051,27922.3
203,30,14,27915.2,27913.2,-24.433,255.62,-4.23235,27913.2
204,30,15,27919.7,27917.0,-20.2006,250.605,-6.1416,27917.0
205,30,16,27924.4,27922.6,-14.059,243.681,-18.502,27922.6
206,30,17,27941.1,27940.6,4.443,224.397,-17.046,27940.6
207,30,18,27955.6,27957.1,21.49,206.567,0.0,27957.1
208,30,19,27983.2,,,,,27983.19921875
209,30,20,28007.6,,,,,28007.599609375
210,31,8,28954.5,,,,,28954.5
211,31,9,28925.3,28927.3,55.618,187.552,24.798,28927.3
212,31,10,28900.3,28902.0,30.8203,211.567,18.5594,28902.0
213,31,11,28882.9,28883.0,12.2609,229.344,15.3833,28883.0
214,31,12,28866.6,28867.1,-3.12234,243.945,11.8326,28867.1
215,31,13,28855.3,28854.7,-14.955,254.995,7.99406,28854.7
216,31,14,28848.7,28846.2,-22.949,262.207,1.49151,28846.2
217,31,15,28846.7,28844.2,-24.4405,262.916,-5.39802,28844.2
218,31,16,28851.6,28849.1,-19.0425,256.736,-11.9764,28849.1
219,31,17,28862.3,28860.6,-7.06612,243.977,-18.36,28860.6
220,31,18,28877.9,28878.4,11.294,224.835,0.0,28878.4
221,31,19,28898.8,,,,,28898.80078125
222,31,20,28924.9,,,,,28924.900390625
223,32,8,29895.0,,,,,29895.0
224,32,9,29866.6,,,,,29866.599609375
225,32,10,29836.0,29839.7,36.999,213.46,18.189,29839.7
226,32,11,29820.6,29821.0,18.8097,230.867,19.6385,29821.0
227,32,12,29800.3,29800.9,-0.828807,249.723,10.2697,29800.9
228,32,13,29790.4,29790.1,-11.0985,259.21,12.9792,29790.1
229,32,14,29778.4,29776.6,-24.0777,271.407,0.227188,29776.6
230,32,15,29778.4,29775.8,-24.3049,270.852,1.71066,29775.8
231,32,16,29775.9,29773.6,-26.0155,271.78,-12.6809,29773.6
232,32,17,29787.7,29785.8,-13.3347,258.317,-11.1343,29785.8
233,32,18,29796.5,29796.4,-2.20035,246.4,-23.299,29796.4
234,32,19,29818.7,29819.2,21.098,222.32,0.0,29819.2
235,32,20,29838.4,,,,,29838.400390625
236,32,21,29867.8,,,,,29867.80078125
237,33,8,30839.8,,,,,30839.80078125
238,33,9,30806.7,,,,,30806.69921875
239,33,10,30777.2,30780.2,45.997,212.533,22.03,30780.2
240,33,11,30756.8,30757.7,23.967,233.781,19.005,30757.7
241,33,12,30738.5,30738.1,4.9622,252.003,13.4304,30738.1
242,33,13,30723.6,30724.2,-8.46823,264.651,12.0461,30724.2
243,33,14,30712.9,30711.6,-20.5143,275.915,5.82302,30711.6
244,33,15,30707.6,30705.3,-26.3373,280.956,0.248508,30705.3
245,33,16,30706.8,30704.6,-26.5859,280.422,-5.58252,30704.6
246,33,17,30711.6,30709.6,-21.0033,274.057,-11.619,30709.6
247,33,18,30722.4,30720.7,-9.38429,261.656,-16.426,30720.7
248,33,19,30737.0,30736.7,7.042,244.447,0.0,30736.7
249,33,20,30757.9,,,,,30757.900390625
250,33,21,30782.8,,,,,30782.80078125
251,34,8,31780.4,,,,,31780.400390625
252,34,9,31750.0,,,,,31750.0
253,34,10,31715.3,31718.5,52.842,213.759,21.553,31718.5
254,34,11,31695.2,31696.5,31.289,234.53,22.966,31696.5
255,34,12,31672.6,31673.0,8.32335,256.713,11.3922,31673.0
256,34,13,31660.0,31661.1,-3.0689,267.323,16.8878,31661.1
257,34,14,31644.1,31643.7,-19.9567,283.429,4.59197,31643.7
258,34,15,31640.4,31638.6,-24.5487,287.238,5.38299,31638.6
259,34,16,31634.3,31632.7,-29.9317,291.839,-5.4916,31632.7
260,34,17,31639.0,31637.7,-24.4401,285.565,-6.0618,31637.7
261,34,18,31644.6,31643.2,-18.3783,278.721,-17.158,31643.2
262,34,19,31660.1,31659.9,-1.22,260.78,-15.072,31659.9
263,34,20,31674.3,31674.4,13.851,244.927,0.0,31674.4
264,34,21,31700.5,,,,,31700.5
265,34,22,31723.0,,,,,31723.0
266,35,9,32690.8,,,,,32690.80078125
267,35,10,32658.0,,,,,32658.0
268,35,11,32632.9,32634.5,37.84,236.05,22.2,32634.5
269,35,12,32611.1,32611.8,15.6398,257.468,15.8596,32611.8
270,35,13,32594.1,32595.4,-0.219833,272.545,14.1406,32595.4
271,35,14,32580.4,32580.8,-14.3604,285.904,10.4974,32580.8
272,35,15,32571.2,32569.8,-24.8578,295.619,3.98843,32569.8
273,35,16,32566.6,32565.3,-28.8462,298.825,0.167323,32565.3
274,35,17,32565.5,32564.6,-29.0135,298.21,-5.96613,32564.6
275,35,18,32570.6,32570.1,-23.0474,291.461,-11.8745,32570.1
276,35,19,32581.9,32581.4,-11.1729,278.804,-15.961,32581.4
277,35,20,32597.0,32596.9,4.788,262.061,0.0,32596.9
278,35,21,32616.6,,,,,32616.599609375
279,35,22,32640.7,,,,,32640.69921875
280,36,9,33633.2,,,,,33633.19921875
281,36,10,33597.5,,,,,33597.5
282,36,11,33573.5,33574.1,45.912,236.05,25.531,33574.1
283,36,12,33546.8,33548.0,20.3802,260.799,14.4298,33548.0
284,36,13,33531.5,33533.1,5.95038,274.447,18.3437,33533.1
285,36,14,33513.3,33514.2,-12.3933,292.008,7.85771,33514.2
286,36,15,33505.7,33505.9,-20.251,299.083,10.4131,33505.9
287,36,16,33495.7,33495.0,-30.6641,308.714,-1.14211,33495.0
288,36,17,33496.7,33495.6,-29.522,306.79,0.709522,33495.6
289,36,18,33495.0,33494.4,-30.2315,306.717,-12.8145,33494.4
290,36,19,33507.2,33506.7,-17.4171,293.12,-10.9659,33506.7
291,36,20,33517.1,33517.1,-6.45115,281.372,-21.802,33517.1
292,36,21,33537.7,33538.4,15.351,258.787,0.0,33538.4
293,36,22,33556.1,,,,,33556.1015625
294,36,23,33584.6,,,,,33584.6015625
295,37,9,34570.9,,,,,34570.8984375
296,37,10,34539.8,,,,,34539.80078125
297,37,11,34512.1,34512.8,53.143,236.89,24.853,34512.8
298,37,12,34486.7,34487.4,28.289,260.962,18.48,34487.4
299,37,13,34466.9,34468.5,9.80956,278.659,16.4039,34468.5
300,37,14,34450.2,34451.5,-6.59429,294.28,12.4018,34451.5
301,37,15,34438.2,34438.6,-18.9961,305.9,7.90031,34438.6
302,37,16,34429.9,34430.2,-26.8964,313.018,4.86511,34430.2
303,37,17,34425.4,34424.8,-31.7615,317.1,-0.813873,34424.8
304,37,18,34425.1,34425.1,-30.9476,315.504,-6.14745,34425.1
305,37,19,34430.7,34430.8,-24.8002,308.574,-11.6641,34430.8
306,37,20,34441.9,34441.9,-13.1361,296.128,-16.62,34441.9
307,37,21,34457.5,34458.1,3.484,278.725,0.0,34458.1
308,37,22,34476.7,,,,,34476.69921875
309,37,23,34499.3,,,,,34499.30078125
310,38,9,35516.7,,,,,35516.69921875
311,38,10,35476.5,,,,,35476.5
312,38,11,35452.6,,,,,35452.6015625
313,38,12,35423.4,35424.7,34.074,263.248,17.864,35424.7
314,38,13,35405.3,35406.3,16.2099,280.33,20.3802,35406.3
315,38,14,35383.9,35385.5,-4.1703,299.927,10.4993,35385.5
316,38,15,35373.9,35374.4,-14.6696,309.644,12.1916,35374.4
317,38,16,35360.8,35361.7,-26.8612,321.054,2.9369,35361.7
318,38,17,35357.8,35358.3,-29.7981,323.208,4.91673,35358.3
319,38,18,35352.2,35352.9,-34.7148,327.343,-5.91407,35352.9
320,38,19,35358.2,35358.3,-28.8008,320.646,-6.74225,35358.3
321,38,20,35363.7,35364.5,-22.0585,313.122,-17.513,35364.5
322,38,21,35380.6,35381.5,-4.546,294.827,-15.211,35381.5
323,38,22,35394.8,35396.2,10.666,278.832,0.0,35396.2
324,38,23,35418.9,,,,,35418.8984375
325,38,24,35440.2,,,,,35440.19921875
326,39,10,36422.0,,,,,36422.0
327,39,11,36391.4,,,,,36391.3984375
328,39,12,36363.3,36364.4,42.275,263.118,21.279,36364.4
329,39,13,36341.7,36342.6,20.996,283.615,18.676,36342.6
330,39,14,36322.0,36323.4,2.32035,301.508,15.1496,36323.4
331,39,15,36307.2,36307.8,-12.8293,315.875,10.3331,36307.8
332,39,16,36295.8,36296.9,-23.1623,325.426,6.63785,36296.9
333,39,17,36288.5,36289.8,-29.8002,331.282,3.442,36289.8
334,39,18,36284.3,36285.8,-33.2422,333.941,0.565,36285.8
335,39,19,36284.2,36284.8,-33.8072,333.724,-6.52449,36284.8
336,39,20,36290.1,36290.8,-27.2827,326.417,-13.11,36290.8
337,39,21,36302.1,36303.4,-14.1727,312.525,-16.371,36303.4
338,39,22,36317.6,36319.2,2.198,295.372,0.0,36319.2
339,39,23,36336.4,,,,,36336.3984375
340,39,24,36359.3,,,,,36359.30078125
341,40,10,37362.5,,,,,37362.5
342,40,11,37334.3,,,,,37334.30078125
343,40,12,37299.1,37302.2,48.605,264.86,20.633,37302.2
344,40,13,37281.3,37281.1,27.973,284.709,22.543,37281.1
345,40,14,37257.4,37258.0,5.42968,306.47,13.5041,37258.0
346,40,15,37243.8,37244.0,-8.07442,319.192,14.7634,37244.0
347,40,16,37227.7,37228.8,-22.8378,333.173,4.71997,37228.8
348,40,17,37222.4,37223.5,-27.5578,337.111,7.48208,37223.5
349,40,18,37214.0,37215.5,-35.0399,343.81,-1.5044,37215.5
350,40,19,37214.7,37216.5,-33.5355,341.524,1.31089,37216.5
351,40,20,37214.1,37214.7,-34.8464,342.052,-14.3231,37214.7
352,40,21,37226.8,37228.5,-20.5233,326.947,-11.673,37228.5
353,40,22,37238.1,37239.7,-8.85039,314.491,-20.736,37239.7
354,40,23,37258.3,37259.9,11.886,292.973,0.0,37259.9
355,40,24,37275.6,,,,,37275.6015625
356,40,25,37303.1,,,,,37303.1015625
357,41,10,38305.1,,,,,38305.1015625
358,41,11,38274.1,,,,,38274.1015625
359,41,12,38243.3,,,,,38243.30078125
360,41,13,38215.0,38218.5,33.888,286.865,21.768,38218.5
361,41,14,38193.9,38196.2,12.1197,307.851,17.0994,38196.2
362,41,15,38178.1,38178.6,-4.97977,324.169,14.0288,38178.6
363,41,16,38163.9,38164.1,-19.0086,337.415,8.29861,38164.1
364,41,17,38154.0,38155.3,-27.3072,344.931,5.76032,38155.3
365,41,18,38147.7,38149.0,-33.0675,349.909,2.49204,38149.0
366,41,19,38143.8,38146.0,-35.5595,351.619,-0.421656,38146.0
367,41,20,38144.4,38145.9,-35.1379,350.415,-6.49548,38145.9
368,41,21,38150.7,38151.9,-28.6424,343.137,-12.9449,38151.9
369,41,22,38162.6,38164.3,-15.6975,329.41,-15.893,38164.3
370,41,23,38178.6,38179.7,0.196,312.734,0.0,38179.7
371,41,24,38196.7,,,,,38196.69921875
372,41,25,38218.6,,,,,38218.6015625
373,42,11,39216.3,,,,,39216.30078125
374,42,12,39182.1,,,,,39182.1015625
375,42,13,39157.2,39156.9,40.837,287.988,24.275,39156.9
376,42,14,39128.5,39132.2,16.562,311.48,15.552,39132.2
377,42,15,39115.7,39116.1,1.00974,326.25,18.6475,39116.1
378,42,16,39096.8,39096.9,-17.6377,344.116,7.27524,39096.9
